ÍTEM,DEL FOLIO/PAGINAS,RAZON SOCIAL REMITENTE,No. RADICADO REMITENTE,RAZON SOCIAL DESTINATARIO,No. RADICADO DESTINATARIO,FECHA (DD/MM/AAAA),ASUNTO / TIPO DOCUMENTAL,UBICACION_ARCHIVO
1,2,Tribunal Administrativo de Caldas,,CONSORCIO 4C,GP-16447,15/11/2023,Notificación Auto Decreta Prueba Pericial Fondo DDIC RAD. 2022-00228-00,15_04_Comunic_Recibidas/2023 EN ADELANTE/CI004_GP-16447_050300_TER_NOTIFICAC-PRUEBA_PERICIAL.pdf
2,3,Tribunal Administrativo de Caldas,RAD. 2022-00228-00,CONSORCIO 4C,GP-16448,23/01/2024,Notificación Auto Traslado Alegatos Conclusión,15_04_Comunic_Recibidas/2023 EN ADELANTE/CI004_GP-16448_050300_TER_ALEGATOS_CONCLUSION.pdf
3,1,TRIBUNAL ADMINISTRATIVO DE CALDAS,,CONSORCIO 4C,GP-16448,22/01/2024,Auto de Sustanciación 10,15_04_Comunic_Recibidas/2023 EN ADELANTE/CI004_GP-16448_050300_TER_ANEXO.pdf
5,3,Honorable Tribunal Administrativo de Caldas,Auto Interlocutorio. 165,CONSORCIO 4C,GP-16445,15/08/2023,Decreto de Pruebas,15_04_Comunic_Recibidas/2023 EN ADELANTE/CI004_GP-16445_050300_TER_ANEXO.pdf
4,2,Agencia Nacional de Infraestructura,,CONSORCIO 4C,GP-16443,29/09/2023,Respuesta al comunicado CI.004/GP10362/23/9.9 con radicado ANI No. 20234090852642 del 30 de agosto de 2023 – Informe Final del Contrato de Interventoría 145 de 2014 - Proyecto Honda-Puerto Salgar-Girardot. Consorcio 4C.,15_04_Comunic_Recibidas/2023 EN ADELANTE/CI004_GP-16443_090900_ANI_APROBAC_INF_FINAL_INTERV.pdf
7,60,Municipio de Nariño,25-483-024-OFEXP023,CONSORCIO 4C,GP-16449,,Reiteradas peticiones de interés general.,15_04_Comunic_Recibidas/2023 EN ADELANTE/CI004_GP-16449_050300_TER_ANEXO.pdf
6,38,Agencia Nacional de Infraestructura,,CONSORCIO 4C,GP-010400,10/07/2024,Entrega de Archivo – Contrato de Interventoría VEJ 145 del 24 de octubre de 2014 – Proyecto Honda - Puerto Salgar – Girardot.,15_04_Comunic_Recibidas/2023 EN ADELANTE/CI004_GP_010400_ANI_OBSERVACIONES_ENTREGA_ARCHIVO.pdf
8,3,Honorable Tribunal Administrativo de Caldas,,CONSORCIO 4C,GP-16446,15/08/2023,Decreto de Pruebas,15_04_Comunic_Recibidas/2023 EN ADELANTE/CI004_GP-16446_050300_TER_ANEXO.pdf
10,2,,,CONSORCIO 4C,GP-010400,07/08/2024,Reiteración de solicitud sobre entrega de archivo. Contrato de Interventoría VEJ 145 del 24 de octubre de 2014 – Proyecto Honda – Puerto Salgar – Girardot.,15_04_Comunic_Recibidas/2023 EN ADELANTE/CI004_GP_010400_ANI_REITERACION_ENTREGA_ARCHIVO.pdf
9,2,Tribunal Administrativo de Caldas,,CONSORCIO 4C,GP-16445,16/08/2023,Notificación Auto Decreta Pruebas RAD. 2022-00228-00,15_04_Comunic_Recibidas/2023 EN ADELANTE/CI004_GP-16445_050300_TER_AUTO_INTERLOCUTORIO_165.pdf
11,3,Agencia Nacional de Infraestructura,,CONSORCIO 4C,GP-16444,17/07/2023,Respuesta a su comunicado No. CI.004/0383/22/1 con radicado ANI No. 20224091268002. Pólizas de Interventoría. Proyecto Honda - Puerto Salgar - Girardot. Contrato de Interventoría No. 145 de 2014. Consorcio 4C.,15_04_Comunic_Recibidas/2023 EN ADELANTE/CI004_GP-16444_090900_ANI_OBSERV_POLIZAS.pdf
12,2,TRIBUNAL ADMINISTRATIVO DE CALDAS,170012333002022-00228-00,CONSORCIO 4C,GP-16446,16/08/2023,Requerimiento Pruebas,15_04_Comunic_Recibidas/2023 EN ADELANTE/CI004_GP-16446_050300_TER_REQUERIM_PRUEBAS.pdf
13,2,Honorable Tribunal Administrativo de Caldas,,CONSORCIO 4C,GP-16447,14/11/2023,Decreto de Pruebas,15_04_Comunic_Recibidas/2023 EN ADELANTE/CI004_GP-16447_050300_TER_ANEXO.pdf
